Expriment 2-1, iteration 200k, temperature decrease from 300000, cooling rate:0.95 
SA, temperature, 92000, Evaluation Function, 3573.357379171776, time, 171
SA, temperature, 91000, Evaluation Function, 3437.039731252642, time, 171
SA, temperature, 90000, Evaluation Function, 3591.5423156732504, time, 156
SA, temperature, 89000, Evaluation Function, 3674.0544856455904, time, 171
SA, temperature, 88000, Evaluation Function, 3436.4242334179894, time, 171
SA, temperature, 87000, Evaluation Function, 3662.480448188219, time, 156
SA, temperature, 86000, Evaluation Function, 3533.0265400145267, time, 156
SA, temperature, 85000, Evaluation Function, 3688.6405823054615, time, 156
SA, temperature, 84000, Evaluation Function, 3735.5039323248284, time, 172
SA, temperature, 83000, Evaluation Function, 3581.6653968358355, time, 156
SA, temperature, 82000, Evaluation Function, 3628.295726256691, time, 171
SA, temperature, 81000, Evaluation Function, 3431.4475807121457, time, 156
SA, temperature, 80000, Evaluation Function, 3540.921445038791, time, 156
SA, temperature, 79000, Evaluation Function, 3582.347578951618, time, 171
SA, temperature, 78000, Evaluation Function, 3629.943460178882, time, 156
SA, temperature, 77000, Evaluation Function, 3562.327556180389, time, 171
SA, temperature, 76000, Evaluation Function, 3643.913283857708, time, 203
SA, temperature, 75000, Evaluation Function, 3498.73674661909, time, 172
SA, temperature, 74000, Evaluation Function, 3497.5959070924914, time, 156
SA, temperature, 73000, Evaluation Function, 3632.318756168394, time, 156
SA, temperature, 72000, Evaluation Function, 3403.60884793065, time, 156
SA, temperature, 71000, Evaluation Function, 3653.123121944247, time, 172
SA, temperature, 70000, Evaluation Function, 3562.9247139168347, time, 171
SA, temperature, 69000, Evaluation Function, 3571.772518415146, time, 156
SA, temperature, 68000, Evaluation Function, 3645.057644385702, time, 156
SA, temperature, 67000, Evaluation Function, 3382.359776831978, time, 171
SA, temperature, 66000, Evaluation Function, 3636.2021967350897, time, 156
SA, temperature, 65000, Evaluation Function, 3652.628262870288, time, 156
SA, temperature, 64000, Evaluation Function, 3440.92482147096, time, 156
SA, temperature, 63000, Evaluation Function, 3591.170940691274, time, 172
SA, temperature, 62000, Evaluation Function, 3487.9905522296444, time, 156
SA, temperature, 61000, Evaluation Function, 3593.739422615548, time, 156
SA, temperature, 60000, Evaluation Function, 3581.768343731173, time, 172
SA, temperature, 59000, Evaluation Function, 3664.557991027464, time, 156
SA, temperature, 58000, Evaluation Function, 3586.8801032366323, time, 156
SA, temperature, 57000, Evaluation Function, 3609.2811580821553, time, 172
SA, temperature, 56000, Evaluation Function, 3704.105456847143, time, 171
SA, temperature, 55000, Evaluation Function, 3615.3614807493827, time, 171
SA, temperature, 54000, Evaluation Function, 3455.845804310741, time, 172
SA, temperature, 53000, Evaluation Function, 3541.0737939992605, time, 156
SA, temperature, 52000, Evaluation Function, 3590.385546346258, time, 171
SA, temperature, 51000, Evaluation Function, 3633.1695090605413, time, 172
SA, temperature, 50000, Evaluation Function, 3485.035345035801, time, 156
SA, temperature, 49000, Evaluation Function, 3761.024392760399, time, 156
SA, temperature, 48000, Evaluation Function, 3582.7465712676526, time, 187
SA, temperature, 47000, Evaluation Function, 3533.501060897493, time, 156
SA, temperature, 46000, Evaluation Function, 3679.6980424333615, time, 171
SA, temperature, 45000, Evaluation Function, 3719.8076847493, time, 203
SA, temperature, 44000, Evaluation Function, 3376.149560514157, time, 172
SA, temperature, 43000, Evaluation Function, 3569.013116299834, time, 172
SA, temperature, 42000, Evaluation Function, 3728.997756645844, time, 156
SA, temperature, 41000, Evaluation Function, 3581.968665676523, time, 172
SA, temperature, 40000, Evaluation Function, 3465.1335637903285, time, 172
SA, temperature, 39000, Evaluation Function, 3497.2576905487717, time, 156
SA, temperature, 38000, Evaluation Function, 3619.363131941173, time, 156
SA, temperature, 37000, Evaluation Function, 3586.556455927451, time, 172
SA, temperature, 36000, Evaluation Function, 3584.7515143746496, time, 171
SA, temperature, 35000, Evaluation Function, 3675.9842892076194, time, 156
SA, temperature, 34000, Evaluation Function, 3445.9051253624725, time, 156
SA, temperature, 33000, Evaluation Function, 3319.256290818706, time, 171
SA, temperature, 32000, Evaluation Function, 3766.684392557235, time, 171
SA, temperature, 31000, Evaluation Function, 3645.3506015497233, time, 156
SA, temperature, 30000, Evaluation Function, 3547.9555865310795, time, 156
SA, temperature, 29000, Evaluation Function, 3697.9814134782387, time, 171
SA, temperature, 28000, Evaluation Function, 3714.852028078273, time, 172
SA, temperature, 27000, Evaluation Function, 3684.568031258101, time, 172
SA, temperature, 26000, Evaluation Function, 3634.3688186052777, time, 156
SA, temperature, 25000, Evaluation Function, 3772.223229843168, time, 172
SA, temperature, 24000, Evaluation Function, 3513.392425734376, time, 172
SA, temperature, 23000, Evaluation Function, 3717.460954291781, time, 172
SA, temperature, 22000, Evaluation Function, 3717.0352677689693, time, 156
SA, temperature, 21000, Evaluation Function, 3632.631267779593, time, 171
SA, temperature, 20000, Evaluation Function, 3571.6728587955627, time, 202
SA, temperature, 19000, Evaluation Function, 3585.062128981452, time, 156
SA, temperature, 18000, Evaluation Function, 3616.499105403203, time, 172
SA, temperature, 17000, Evaluation Function, 3586.2828071404024, time, 172
SA, temperature, 16000, Evaluation Function, 3701.28701696136, time, 156
SA, temperature, 15000, Evaluation Function, 3466.1236219438606, time, 156
SA, temperature, 14000, Evaluation Function, 3584.013197829512, time, 156
SA, temperature, 13000, Evaluation Function, 3606.673788726856, time, 156
SA, temperature, 12000, Evaluation Function, 3507.1162568981536, time, 172
SA, temperature, 11000, Evaluation Function, 3799.87996375726, time, 156
SA, temperature, 10000, Evaluation Function, 3357.7412476782442, time, 172
SA, temperature, 9000, Evaluation Function, 3617.363045470392, time, 156
SA, temperature, 8000, Evaluation Function, 3458.483523709863, time, 156
SA, temperature, 7000, Evaluation Function, 3621.8046998756054, time, 172
SA, temperature, 6000, Evaluation Function, 3668.5900478522526, time, 156
SA, temperature, 5000, Evaluation Function, 3440.8673549578807, time, 156
SA, temperature, 4000, Evaluation Function, 3568.0594805414553, time, 172
SA, temperature, 3000, Evaluation Function, 3595.154362848494, time, 172
SA, temperature, 2000, Evaluation Function, 3475.3222880856492, time, 172
SA, temperature, 1000, Evaluation Function, 3375.233335871984, time, 156
